Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Dealul Cățelei,cățea,3,44.0535202657934,23.5180272537144,Dolj,Deal,152,Dealul Cățelei,Geomil 25000,Limba română
Piscul Cățelei,cățea,3,45.2039760411859,25.926708085799,Prahova,Înălțime,809,Piscul Cățelei,Geomil 25000,Limba română
Cățeaua,cățea,3,44.2355238171219,27.6596019271467,Calarasi,Altele,3213,Cățeaua,PDT,Limba română
Dealul Cățelei,cățea,3,47.3450230662387,24.8218640905716,Bistrita Nasaud,Deal,6364,Dealul Cățelei,Geomil 25000,Limba română
Balta Cățeaua,cățea,3,45.0091620172241,27.95212896523,Braila,Apă-deal-câmpie,6716,Balta Cățeaua,PDT,Limba română
Dealul Cățelei,cățea,3,44.1619993296246,23.7881826291439,Dolj,Deal,7712,Dealul Cățelei,PDT,Limba română
Râpa Cățelei,cățea,3,47.7004368939035,26.4636627975899,Botosani,Înălțime,7784,Râpa Cățelei,Geomil 25000,Limba română
Coada Cățelei,cățea,3,45.8003179118047,26.5399833521477,Vrancea,Înălțime,7916,Coada Cățelei,Geomil 25000,Limba română
Tâlva Cățelei,cățea,3,45.0611152789736,22.1704345403057,Caras Severin,Altele,8682,Tâlva Cățelei,PDT,Limba română
La Movila Cățelei,cățea,3,45.9184546209007,27.515132794945,Galati,Înălțime,9490,La Movila Cățelei,PDT,Limba română
Valea Cățelei,cățea,3,46.2465960046205,22.0359746566315,Arad,Vale,10214,Valea Cățelei,Geomil 25000,Limba română
Movila Cățelușa,cățelușă,4,44.9619961058982,27.418607373818,Braila,Înălțime,6730,Movila Cățelușa,PDT,Limba română
