Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Pârâul Tulbure,tulbure,3,45.4577991208911,25.0183204240628,Arges,Vale,13450,,Pârâul Tulbure,Geomil 25000,Limba română
Bâtca Tulbure,tulbure,3,46.1056763460953,26.9320342262525,Bacau,Vale,13044,,Bâtca Tulbure,Geomil 25000,Limba română
Dealul Tulbure,tulbure,3,46.6564116850076,26.7285724949999,Bacau,Deal,13119,13118,Dealul Tulbure,Geomil 25000,Limba română
Pădurea Tulbure,tulbure,3,46.5460486898437,26.361254228486,Bacau,Pădure,13040,13039,Pădurea Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,46.5444092564091,26.3667402258095,Bacau,Vale,13039,,Pârâul Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,46.660841676758,26.7275595841385,Bacau,Vale,13118,,Pârâul Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,46.0753008337536,26.5834999183205,Bacau,Vale,13306,,Pârâul Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,46.3975467637892,26.2974627709874,Bacau,Vale,14100,,Pârâul Tulbure,Geomil 25000,Limba română
Plaiul Tulbure,tulbure,3,46.393847985316,26.2960834494456,Bacau,Înălțime,14101,14100,Plaiul Tulbure,Geomil 25000,Limba română
Poiana Tulbure,tulbure,3,46.6685331290707,26.7355382761043,Bacau,Poiană,13120,13118,Poiana Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,45.2099029930329,26.5449335791857,Buzau,Vale,13563,,Pârâul Tulbure,Geomil 25000,Limba română
Valea Tulbure,tulbure,3,45.1274224394015,25.6006357520024,Dambovita,Vale,13349,,Valea Tulbure,Geomil 25000,Limba română
Călimănelul cel Tulbure,tulbure,3,47.0174063880486,25.340664198851,Harghita,Vale,13143,,Călimănelul cel Tulbure,Geomil 25000,Limba română
Piatra Tulbure,tulbure,3,47.6949751538002,24.0179847116831,Maramures,Altele,14444,,Piatra Tulbure,ANCPI,Limba română
Valea Tulbure,tulbure,3,47.7586030360464,23.6657803691155,Maramures,Vale,13004,,Valea Tulbure,Geomil 25000,Limba română
Apa Tulbure,tulbure,3,44.5374224136383,22.7893537539045,Mehedinti,Vale,15245,,Apa Tulbure,PDT,Limba română
Dealul Tulbure,tulbure,3,47.4037054610193,26.5636844819069,Suceava,Deal,14576,14575,Dealul Tulbure,PDT,Limba română
Valea Tulbure,tulbure,3,47.3951171494743,26.5681506123903,Suceava,Vale,14575,,Valea Tulbure,PDT,Limba română
Valea Tulbure,tulbure,3,45.1273852968472,24.3209240849901,Valcea,Vale,15553,,Valea Tulbure,ANCPI,Limba română
Pârâul Tulbure,tulbure,3,46.6687837626528,27.3661650393534,Vaslui,Vale,14117,,Pârâul Tulbure,Geomil 25000,Limba română
Dealul Tulbure,tulbure,3,45.9582474652844,26.8666576469984,Vrancea,Deal,13047,13046,Dealul Tulbure,Geomil 25000,Limba română
Lacul Tulbure,tulbure,3,45.6454056390293,27.0362321157118,Vrancea,Lac,12997,,Lacul Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,45.569193063249,26.8224320634319,Vrancea,Vale,12993,,Pârâul Tulbure,Geomil 25000,Limba română
Pârâul Tulbure,tulbure,3,45.963166663979,26.87043644737,Vrancea,Vale,13046,,Pârâul Tulbure,Geomil 25000,Limba română
