Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealu Iepei,iapă,3,46.5018408440241,22.8231757902067,Alba,Deal,12551,Dealu Iepei,Geomil 25000,Limba română
La Iapă,iapă,3,46.2839993054822,23.9395152552127,Alba,Altele,8147,La Iapă,PDT,Limba română
La Iapa,iapă,3,46.3240921730253,22.6870546977721,Arad,Altele,7646,La Iapa,Geomil 25000,Limba română
Dealul Botul Iepei,iapă,3,44.9639232211153,24.6650422659132,Arges,Deal,91,Dealul Botul Iepei,PDT,Limba română
Piscul Iepei,iapă,3,44.967491935509,25.0548481834845,Arges,Înălțime,8350,Piscul Iepei,PDT,Limba română
Valea Iapa,iapă,3,44.897772075531,24.599587188408,Arges,Vale,1411,Valea Iapa,Geomil 25000,Limba română
Valea Iepei,iapă,3,45.2661378205786,24.5116341979381,Arges,Vale,1440,Valea Iepei,Geomil 25000,Limba română
Pădurea Iepei,iapă,3,46.5580981804213,27.1367615789153,Bacau,Pădure,3906,Pădurea Iepei,Geomil 25000,Limba română
Pădurea Valea Iepei,iapă,3,46.4917683194806,27.2812302722712,Bacau,Pădure,7863,Pădurea Valea Iepei,Geomil 25000,Limba română
Dealu Iapa,iapă,3,46.5865250911031,22.2055972500107,Bihor,Deal,989,Dealu Iapa,Geomil 25000,Limba română,Dealu Iapa,PDT,Limba română
Fântâna Iepei,iapă,3,46.4396653213767,22.4570896224654,Bihor,Altele,5624,Fântâna Iepei,Geomil 25000,Limba română
Groapa Iepii,iapă,3,46.968003206678,22.6560471210757,Bihor,Altele,13071,Groapa Iepii,Geomil 25000,Limba română
Iapa Albă,iapă,3,47.5791834108059,24.9180386994075,Bistrita Nasaud,Înălțime,6351,Iapa Albă,PDT,Limba română
Dealul Cobâli,cobâlă,4,47.9292505581008,26.4175333060786,Botosani,Deal,4912,Dealul Cobâli,Geomil 25000,Limba română
Valea Cobâlei,cobâlă,4,47.9376003393143,26.354209393638,Botosani,Vale,1806,Valea Cobâlei,Geomil 25000,Limba română
Dealul Iepei,iapă,3,47.8511067980968,26.7698483058525,Botosani,Deal,3572,Dealul Iepei,PDT,Limba română
Dealul Iepăriei,iepărie,4,47.8415495004515,26.571961874429,Botosani,Deal,4915,Dealul Iepăriei,PDT,Limba română,Iepăria,Geomil 25000,Limba română
Iazul Iepăriei,iepărie,4,47.7759872838842,27.0342366588344,Botosani,Apă-deal-câmpie,2378,Iazul Iepăriei,Geomil 25000,Limba română
Podișul Iepăriei,iepărie,4,47.6821994205769,27.19733218721,Botosani,Altele,2373,Podișul Iepăriei,Geomil 25000,Limba română
Poiana Iepăriei,iepărie,4,48.0192409893961,26.2444947755508,Botosani,Poiană,4901,Poiana Iepăriei,PDT,Limba română
Iapa,iapă,3,44.8239494593836,27.9332243851649,Braila,Localitate,3489,Iapa,PDT,Limba română
La Piatra Iepei,iapă,3,44.9350435501543,27.3218793490145,Braila,Altele,3187,La Piatra Iepei,Geomil 25000,Limba română
Grădina Iepelor,iapă,3,45.9861784230055,24.8432474374659,Brasov,Altele,2663,Grădina Iepelor,Geomil 25000,Limba română
V. Iepe,iapă,3,45.354193054517,26.4209801415497,Buzau,Vale,5761,V. Iepe,Austriacă,Limba română
Valea Iepei,iapă,3,45.3526651515535,26.4629707629425,Buzau,Vale,12991,Valea Iepei,Geomil 25000,Limba română
La Iapa,iapă,3,44.1329289535635,27.4170863963168,Calarasi,Altele,11271,La Iapa,Geomil 25000,Limba română
Groapa Iepii,iapă,3,45.2030518778002,21.9208451230971,Caras Severin,Altele,11498,Groapa Iepii,ANCPI,Limba română
Paghina Iepii,iapă,3,45.4649889194483,21.6516279785819,Caras Severin,Altele,892,Paghina Iepii,Geomil 25000,Limba română,Padina Iepei,PDT,Limba română
Șeaua Iepii,iapă,3,45.6136207187252,22.2925936386973,Caras Severin,Înălțime,6182,Șeaua Iepii,Geomil 25000,Limba română,Șeaua Iepii,PDT,Limba română
Valea Iepii,iapă,3,45.2429936527789,21.5880435332048,Caras Severin,Vale,894,Valea Iepii,Geomil 25000,Limba română
Cobia,cobia,5,44.7930705266515,25.3362871257124,Dambovita,Localitate,10126,Cobia,Geomil 25000,Limba română
Dealu Cobia,cobia,5,44.8850693484965,25.3220147120742,Dambovita,Deal,10130,Dealu Cobia,Geomil 25000,Limba română
La Lacul Iepei,iapă,3,44.7847893213709,25.6270654276732,Dambovita,Lac,3702,La Lacul Iepei,PDT,Limba română
Plaiul Iepelor,iapă,3,45.088295177482,25.6427329825987,Dambovita,Înălțime,11135,Plaiul Iepelor,PDT,Limba română
Valea Iepii,iapă,3,44.8587207532614,25.6912775622759,Dambovita,Vale,11144,Valea Iepii,PDT,Limba română
Pădurea Cobia,cobia,5,44.1504958446798,23.7367955365345,Dolj,Pădure,7716,Pădurea Cobia,PDT,Limba română,Pădurea Cobia,Geomil 25000,Limba română
Dealul Iepei,iapă,3,44.6427366372421,23.8154996269522,Dolj,Deal,8291,Dealul Iepei,PDT,Limba română
M. iepii,iapă,3,43.7702459206588,23.8622514098866,Dolj,Înălțime,6015,M. iepii,Austriacă,Limba română
Valea Iapa din Deal,iapă,3,44.5736667661179,23.8938173561854,Dolj,Vale,383,Valea Iapa din Deal,Geomil 25000,Limba română
Valea Iepei,iapă,3,44.6073884920921,23.5518300851401,Dolj,Vale,13852,Valea Iepei,Geomil 25000,Limba română
La Lacul Epei,iapă,3,45.9104968758121,27.5112063437894,Galati,Lac,3945,La Lacul Epei,PDT,Limba română
Valea Iepei,iapă,3,45.7576802835688,27.6975364753043,Galati,Vale,11288,Valea Iepei,Geomil 25000,Limba română
Padina cu Iapa,iapă,3,44.1236596494049,26.1792970726828,Giurgiu,Înălțime,3161,Padina cu Iapa,Geomil 25000,Limba română
Dealul Iepei,iapă,3,44.6953111662563,23.7035066594912,Gorj,Deal,5155,Dealul Iepei,Geomil 25000,Limba română
Dealu Iepii,iapă,3,46.1072996412977,23.0197629167342,Hunedoara,Deal,6245,Dealu Iepii,Geomil 25000,Limba română
Șaua Iepii,iapă,3,45.3425223894078,22.6605786388248,Hunedoara,Înălțime,10331,Șaua Iepii,Geomil 25000,Limba română
La Iepărie,iepărie,4,47.4154437598659,27.2958713684826,Iasi,Altele,4864,La Iepărie,PDT,Limba română
Dealul Iepei,iapă,3,47.739693369708,24.3191616618693,Maramures,Deal,4529,Dealul Iepei,Geomil 25000,Limba română,Dealul Iepei,PDT,Limba română
Lacul Iepei,iapă,3,44.4212965658433,23.003048550017,Mehedinti,Lac,3664,Lacul Iepei,Geomil 25000,Limba română
Ogașul Iepei,iapă,3,44.8441385034873,22.8367603440732,Mehedinti,Vale,9784,Ogașul Iepei,PDT,Limba română
Valea Iepei,iapă,3,44.6805867140356,23.0670097223796,Mehedinti,Vale,214,Valea Iepei,Geomil 25000,Limba română
Valea Iepei,iapă,3,46.7401950847601,25.0485456771681,Mures,Vale,5394,Valea Iepei,Geomil 25000,Limba română
Iapa,iapă,3,46.814269293942,26.4450583547255,Neamt,Localitate,3854,Iapa,PDT,Limba română
Dealu Picioru Iepei,iapă,3,47.0856024778172,22.6830440439916,Salaj,Deal,1065,Dealu Picioru Iepei,Geomil 25000,Limba română
Iapa,iapă,3,47.2511692119156,23.5567553568471,Salaj,Localitate,8986,Iapa,PDT,Limba română
Balta Iepei,iapă,3,46.0394969696636,24.6035628539567,Sibiu,Apă-deal-câmpie,7982,Balta Iepei,PDT,Limba română
Culmea Iepei,iapă,3,45.6167663263278,24.2510856204046,Sibiu,Înălțime,2495,Culmea Iepei,Geomil 25000,Limba română
Grădina Iepei,iapă,3,45.9959127357507,24.732630573992,Sibiu,Altele,2659,Grădina Iepei,Geomil 25000,Limba română
Bâtca Iepei,iapă,3,47.3846570261704,25.8037980214041,Suceava,Înălțime,9091,Bâtca Iepei,PDT,Limba română
Vârful Iepei,iapă,3,47.5285495744706,25.1624324811765,Suceava,Înălțime,6346,Vârful Iepei,PDT,Limba română
Valea Iepăriei,iepărie,4,47.3418337517211,26.5018798045342,Suceava,Vale,2247,Valea Iepăriei,Geomil 25000,Limba română
Dealul Cobiei,cobia,5,44.0556025582967,25.0355215279756,Teleorman,Deal,11187,Dealul Cobiei,ANCPI,Limba română,Dealu Cobiei,Geomil 25000,Limba română
La Plaiu Iepei,iapă,3,44.3190408960704,25.3444627791894,Teleorman,Altele,512,La Plaiu Iepei,Geomil 25000,Limba română
Dealu Iepii,iapă,3,45.9148214885165,22.3602221613437,Timis,Deal,880,Dealu Iepii,Geomil 25000,Limba română
Dosu Iepei,iapă,3,45.7546917968636,22.4915515093337,Timis,Înălțime,6176,Dosu Iepei,Geomil 25000,Limba română
Dealu Iepii,iapă,3,44.7008136526856,24.0288670637657,Valcea,Deal,3087,Dealu Iepii,Geomil 25000,Limba română
Dealul Iepii,iapă,3,44.8318664724556,23.7091135539123,Valcea,Deal,11347,Dealul Iepii,Geomil 25000,Limba română
Valea Iepei,iapă,3,45.0465764926213,24.4435554195634,Valcea,Vale,337,Valea Iepei,Geomil 25000,Limba română
Dealul Iepei,iapă,3,46.3457491877231,27.7339969401295,Vaslui,Deal,2173,Dealul Iepei,Geomil 25000,Limba română
Poiana Coada Iepei,iapă,3,45.7421594208589,26.577026643998,Vrancea,Poiană,783,Poiana Coada Iepei,Geomil 25000,Limba română
